encoder,average_time,stdev_time,success_rate,average_mrr,stdev_mrr,carbon_emissions(g_CO2eq),average_precision,stdev_precision,average_nonrelevant,stdev_nonrelevant
all-mpnet-base-v2,0.053935759207781625,0.011862096660639476,0.7352941176470589,0.8225,0.26841175792962535,0.04123202774627152,0.09705882352941177,0.017149858514250885,0.9029411764705882,0.01714985851425088
all-MiniLM-L12-v2,0.043484344201929426,0.011520218087831212,0.5588235294117647,0.7219512195121951,0.3150493573409976,0.0784226717889943,0.08823529411764706,0.03270349700838643,0.9117647058823529,0.03270349700838642
LaBSE,0.03693444588605095,0.008803875457806632,0.7352941176470589,0.8634146341463415,0.17572150915721105,0.11260238011282586,0.09705882352941177,0.017149858514250885,0.9029411764705882,0.01714985851425088
