encoder,average_time,stdev_time,success_rate,average_mrr,stdev_mrr,carbon_emissions(g_CO2eq),average_precision,stdev_precision,average_nonrelevant,stdev_nonrelevant
BM25,0.01908389961018282,0.005769156357691759,0.9705882352941176,0.98,0.08331372318284808,0.03635123947797462,0.1,0.0,0.8676470588235294,0.13644976483827548
Splade,0.8852955734028536,0.3209824893720673,0.47058823529411764,0.658695652173913,0.3263100685997372,0.20464226109959252,0.0911764705882353,0.028790224128123657,0.9088235294117647,0.02879022412812365
BM42,0.13748309892766616,0.055055682429219814,0.5,0.7,0.34805582475065283,0.28434126632880974,0.07941176470588236,0.041042563012190475,0.8764705882352941,0.19236774052211272
